Date,Value
2020-04-01,+62.4
2020-04-02,+62.0
2020-04-03,+62.2
2020-04-04,+62.6
2020-04-05,+62.9
2020-04-06,+62.7
2020-04-07,+62.2
2020-04-08,+61.6
2020-04-09,+61.5
2020-04-10,+62.2
2020-04-11,+63.0
2020-04-12,+62.0
2020-04-13,+61.9
2020-04-14,+61.9
2020-04-15,+62.0
2020-04-16,+61.7
2020-04-17,+61.7
2020-04-18,+61.5
2020-04-19,+61.9
2020-04-20,+61.8
2020-04-21,+61.8
2020-04-22,+61.8
2020-04-23,+61.2
2020-04-24,+61.6
2020-04-25,+62.0
2020-04-26,+61.8
2020-04-27,+61.9
2020-04-28,+61.2
2020-04-29,+60.8
2020-04-30,+60.9
